Time	L0F1-200_1	L0F2-200_1	L0F3-200_1	L0F4-200_1	L0F5-200_1	L1F1-200_1	L1F2-200_1	L1F3-200_1	L1F4-200_1	L1F5-200_1	L0F1-200_2	L0F2-200_2	L0F3-200_2	L0F4-200_2	L0F5-200_2	L1F1-200_2	L1F2-200_2	L1F3-200_2	L1F4-200_2	L1F5-200_2	L0F1-200_3	L0F2-200_3	L0F3-200_3	L0F4-200_3	L0F5-200_3	L1F1-200_3	L1F2-200_3	L1F3-200_3	L1F4-200_3	L1F5-200_3
18.85	0.039	0.732	0.039	0.039	0.039	0.04	0.46299999999999997	0.039	0.066	0.733	0.04	0.899	0.04	0.04	0.039	0.04	0.527	0.039	0.039	0.77	0.039	0.8390000000000001	0.04	0.04	0.039	0.04	0.509	0.039	0.039	0.61
19.12	0.039	0.741	0.039	0.039	0.039	0.039	0.466	0.039	0.068	0.741	0.04	0.9109999999999999	0.04	0.04	0.039	0.04	0.534	0.039	0.039	0.778	0.039	0.885	0.04	0.04	0.039	0.04	0.513	0.039	0.039	0.616
19.37	0.039	0.752	0.039	0.039	0.039	0.039	0.467	0.039	0.07	0.7490000000000001	0.04	0.9209999999999999	0.04	0.04	0.039	0.04	0.54	0.039	0.039	0.785	0.039	0.866	0.04	0.04	0.039	0.04	0.517	0.039	0.039	0.622
19.63	0.039	0.76	0.039	0.039	0.039	0.039	0.47100000000000003	0.039	0.07200000000000001	0.754	0.04	0.93	0.04	0.04	0.039	0.04	0.545	0.039	0.039	0.795	0.039	0.8740000000000001	0.04	0.04	0.039	0.04	0.522	0.039	0.039	0.626
19.9	0.039	0.768	0.039	0.039	0.039	0.039	0.473	0.039	0.075	0.762	0.04	0.94	0.04	0.04	0.039	0.04	0.551	0.039	0.039	0.8009999999999999	0.039	0.892	0.04	0.04	0.039	0.04	0.526	0.039	0.039	0.633
20.15	0.039	0.777	0.039	0.039	0.039	0.039	0.475	0.039	0.077	0.769	0.04	0.9490000000000001	0.04	0.04	0.039	0.04	0.557	0.039	0.039	0.809	0.039	0.89	0.04	0.04	0.039	0.04	0.53	0.039	0.039	0.638
20.42	0.039	0.7879999999999999	0.039	0.039	0.039	0.04	0.47600000000000003	0.039	0.08	0.7759999999999999	0.04	0.958	0.04	0.04	0.039	0.04	0.564	0.039	0.039	0.818	0.039	0.917	0.04	0.04	0.039	0.04	0.534	0.039	0.039	0.6409999999999999
20.68	0.039	0.7979999999999999	0.039	0.039	0.039	0.039	0.479	0.039	0.083	0.7829999999999999	0.04	0.966	0.04	0.04	0.039	0.04	0.569	0.039	0.039	0.8240000000000001	0.038	0.9059999999999999	0.04	0.04	0.039	0.04	0.539	0.039	0.039	0.647
20.93	0.039	0.8079999999999999	0.039	0.039	0.039	0.039	0.48100000000000004	0.039	0.086	0.79	0.04	0.976	0.04	0.04	0.039	0.039	0.574	0.039	0.039	0.833	0.039	0.922	0.04	0.04	0.039	0.039	0.544	0.039	0.039	0.6509999999999999
21.2	0.039	0.8170000000000001	0.039	0.039	0.039	0.04	0.483	0.039	0.08900000000000001	0.7959999999999999	0.04	0.9840000000000001	0.04	0.04	0.039	0.04	0.58	0.039	0.039	0.8390000000000001	0.039	0.924	0.04	0.04	0.039	0.04	0.547	0.039	0.039	0.654
21.47	0.039	0.8240000000000001	0.039	0.039	0.039	0.039	0.484	0.039	0.092	0.805	0.04	0.995	0.04	0.04	0.039	0.04	0.586	0.039	0.039	0.846	0.039	0.932	0.04	0.04	0.039	0.04	0.552	0.039	0.039	0.66
21.73	0.039	0.8320000000000001	0.039	0.039	0.039	0.039	0.486	0.039	0.096	0.81	0.04	1.004	0.04	0.04	0.039	0.04	0.5920000000000001	0.039	0.039	0.855	0.039	0.941	0.04	0.04	0.039	0.04	0.555	0.039	0.039	0.662
21.98	0.039	0.835	0.039	0.039	0.039	0.039	0.489	0.039	0.099	0.816	0.04	1.013	0.04	0.04	0.039	0.04	0.597	0.039	0.039	0.862	0.039	0.951	0.04	0.04	0.039	0.04	0.56	0.039	0.039	0.665
22.25	0.039	0.8420000000000001	0.039	0.039	0.039	0.039	0.489	0.039	0.10300000000000001	0.8240000000000001	0.04	1.023	0.04	0.04	0.039	0.04	0.603	0.039	0.039	0.868	0.039	0.958	0.04	0.04	0.039	0.04	0.564	0.039	0.039	0.6679999999999999
22.52	0.039	0.847	0.039	0.039	0.039	0.039	0.49200000000000005	0.039	0.10800000000000001	0.8290000000000001	0.04	1.035	0.04	0.04	0.039	0.039	0.607	0.039	0.039	0.8759999999999999	0.039	0.985	0.04	0.04	0.039	0.04	0.569	0.039	0.039	0.67
22.77	0.039	0.851	0.039	0.039	0.039	0.039	0.493	0.039	0.11199999999999999	0.838	0.04	1.042	0.04	0.04	0.039	0.039	0.613	0.039	0.039	0.8809999999999999	0.038	0.9740000000000001	0.04	0.04	0.039	0.039	0.5710000000000001	0.039	0.039	0.6729999999999999
23.03	0.039	0.851	0.039	0.039	0.039	0.039	0.494	0.039	0.11599999999999999	0.843	0.04	1.0490000000000002	0.04	0.04	0.039	0.039	0.619	0.039	0.039	0.889	0.038	0.983	0.04	0.04	0.039	0.039	0.574	0.039	0.039	0.675
23.3	0.039	0.85	0.039	0.039	0.039	0.039	0.498	0.039	0.121	0.85	0.04	1.0590000000000002	0.04	0.04	0.039	0.04	0.622	0.039	0.039	0.897	0.039	0.993	0.04	0.04	0.039	0.04	0.579	0.039	0.039	0.677
